0.026039|0.001710|0.001424
0.025901|0.001586|0.001254
0.026091|0.001590|0.001243
0.025806|0.001704|0.001257
0.025935|0.001581|0.001387
0.025731|0.001570|0.001234
0.026082|0.001567|0.001241
0.025797|0.001676|0.001257
0.025760|0.001664|0.001268
0.025758|0.001571|0.001357
0.025738|0.001583|0.001251
0.025942|0.001736|0.001278
0.025908|0.001585|0.001273
0.026045|0.001590|0.001394
0.025739|0.001574|0.001260
0.026067|0.001573|0.001235
0.025842|0.001695|0.001268
0.025910|0.001576|0.001405
0.025730|0.001558|0.001247
0.026137|0.001579|0.001235
0.025818|0.001693|0.001239
0.025966|0.001628|0.001274
0.025772|0.001562|0.001320
0.025876|0.001580|0.001239
0.025844|0.001663|0.001237
0.025755|0.001639|0.001250
0.025806|0.001580|0.001291
0.025847|0.001580|0.001252
0.025859|0.001670|0.001253
0.025946|0.001590|0.001260
0.025851|0.001570|0.001246
0.025709|0.001554|0.001239
0.025857|0.001677|0.001242
0.025801|0.001640|0.001279
0.025723|0.001576|0.001294
0.025868|0.001566|0.001232
0.026071|0.001573|0.001230
0.025856|0.001603|0.001272
0.025812|0.001575|0.001257
0.025713|0.001596|0.001252
0.026025|0.001588|0.001235
0.025835|0.001596|0.001261
0.025859|0.001561|0.001241
0.025692|0.001560|0.001240
0.026081|0.001611|0.001251
0.025721|0.001580|0.001268
0.025889|0.001611|0.001252
0.025894|0.001601|0.001264
0.026013|0.001584|0.001252
0.025817|0.001662|0.001271
0.025716|0.001601|0.001389
0.025785|0.001566|0.001239
0.026086|0.001579|0.001248
0.025825|0.001685|0.001274
0.025734|0.001577|0.001394
0.025728|0.001572|0.001266
0.026111|0.001590|0.001248
0.025802|0.001689|0.001251
0.025724|0.001557|0.001381
0.025774|0.001579|0.001224
0.026132|0.001581|0.001242
0.025841|0.001676|0.001251
0.025766|0.001548|0.001380
0.025755|0.001558|0.001244
0.026123|0.001562|0.001244
0.025859|0.001669|0.001242
0.025772|0.001624|0.001277
0.025778|0.001551|0.001314
0.025792|0.001629|0.001255
0.025722|0.001689|0.001261
0.025761|0.001694|0.001269
0.025768|0.001571|0.001334
0.025734|0.001574|0.001238
0.025823|0.001669|0.001255
0.025816|0.001680|0.001256
0.025956|0.001587|0.001252
0.025663|0.001574|0.001258
0.025828|0.001690|0.001256
0.025778|0.001665|0.001286
0.025726|0.001568|0.001357
0.025555|0.001571|0.001248
0.026063|0.001743|0.001267
0.025703|0.001655|0.001275
0.025747|0.001563|0.001352
0.025564|0.001571|0.001244
